Product ID,Name,Price,Description,Stock,Category ID
1,UGen Ultra Professional Cordless Optical Suite,4291.55,Durable Backpack ideal for daily use.,936,1
2,Bagged Rubber Bands,46.91,Wireless Headphones with noise cancellation.,875,1
3,TechSavi Cordless Navigator Duo,82.58,Compact Desk Lamp with sleek design.,524,1
4,Artisan Printable Repositionable Plastic Tabs,730.92,Eco-friendly Water Bottle made from recycled materials.,954,1
5,Pizazz Drawing Pencil Set,125.97,Lightweight Laptop with fast charging.,571,1
6,"Alto Parchment Paper, Assorted Colors",189.43,Premium Mouse with ergonomic design.,992,1
7,Smiths Metal Binder Clips,60.45,Stylish T-shirt for all-day comfort.,767,1
8,Artisan Hole Reinforcements,189.45,Portable Keyboard with USB-C support.,656,1
9,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",121.03,Smart Shoes for outdoor activities.,879,1
10,TypeRight Side-Opening Peel & Seel Expanding Envelopes,1740.57,Ergonomic Phone with long battery life.,585,1
11,Artisan 487 Labels,199.4,Durable Laptop made from recycled materials.,789,1
12,Cando CCalored Accent Highlighters,694.05,Wireless Mouse with RGB lighting.,829,1
13,Cando S750 Color Inkjet Printer,694.05,Compact Backpack for outdoor adventures.,908,1
14,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",35.33,Eco-friendly T-shirt ideal for daily wear.,695,1
15,TechSavi Access Keyboard,139.46,Lightweight Phone with sleek design.,792,2
16,Artisan 479 Labels,23.46,Premium Desk Lamp with adjustable brightness.,776,1
17,Smiths Pushpins,26.46,Stylish Shoes for casual use.,551,1
18,12 Colored Short Pencils,112.38,Portable Water Bottle with easy-grip handle.,993,3
19,1726 Digital Answering Machine,112.38,Smart Headphones with touch controls.,873,1
20,"Angle-D Binders with Locking Rings, Label Holders",274.97,Ergonomic Laptop with cooling system.,646,1
21,3Max Organizer Strips,143.72,Durable Keyboard with silent keys.,510,1
22,Multimedia Mailers,4764.51,Wireless Shoes for everyday movement.,935,1
23,Smiths SlimLine Pencil Sharpener,233.95,Compact T-shirt with moisture-wicking fabric.,953,1
24,"DrawIt Colored Pencils, 48-Color Set",79.44,Eco-friendly Backpack made from sustainable materials.,516,1
25,Artisan Binder Labels,69.36,Lightweight Headphones for travel.,748,2
26,Pizazz Dustless Chalk Sticks,54.22,Premium Water Bottle with leak-proof lid.,826,1
27,TechSavi Cordless Elite Duo,4371.54,Stylish Desk Lamp with dimming modes.,808,1
28,Smiths General Use 3-Ring Binders,35.33,Portable Mouse for on-the-go use.,512,2
29,Binder Clips by OIC,24.29,Smart T-shirt with sweat-resistant material.,519,2
30,Apex Straight Scissors,523.02,Ergonomic Shoes for support and comfort.,587,2
31,Emerson Stylus 1520 Color Inkjet Printer,744.63,Durable Phone with scratch-resistant body.,955,1
32,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",693.16,Wireless Laptop with high-speed Wi-Fi.,609,1
33,Artisan Hi-Liter Smear-Safe Highlighters,34.43,Compact Keyboard with backlit keys.,637,2
34,Artisan 474 Labels,26.46,Eco-friendly Desk Lamp with low energy usage.,747,3
35,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",690.33,Lightweight Backpack for students.,789,1
36,Ames Color-File Green Diamond Border X-ray Mailers,2692.15,Premium Headphones with crisp sound.,798,2
37,Alto Memo Cubes,80.44,Stylish Water Bottle with a flip cap.,967,1
38,HFX LaserJet 3310 Copier,2761.25,Portable T-shirt for gym wear.,990,2
39,OIC Thumb-Tacks,54.28,Smart Mouse with programmable buttons.,842,1
40,Apex Elite Stainless Steel Scissors,132.08,Ergonomic Laptop with full HD display.,760,3
41,Apex Preferred Stainless Steel Scissors,132.08,Durable Shoes for running.,642,1
42,Smiths Standard Envelopes,129.4,Wireless Water Bottle with temperature control.,632,2
43,"Steady Colorific Colored Pencils, 12/Box",129.57,Compact Phone with dual camera.,858,2
44,Assorted Color Push Pins,61.51,Eco-friendly T-shirt with organic cotton.,588,1
45,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",119.55,Lightweight Desk Lamp for workspace.,960,1
46,Artisan Poly Binder Pockets,119.43,Premium Backpack with multiple compartments.,563,2
47,Artisan Premier Heavy-Duty Binder with Round Locking Rings,321.03,Stylish Headphones for everyday music.,758,1
48,"Artisan Flip-Chart Easel Binder, Black",485.3,Portable Laptop for work and travel.,800,1
49,Office Shears by Apex,10.71,Smart Keyboard with Bluetooth support.,848,2
50,Beekin 105-Key Black Keyboard,122.16,Ergonomic Water Bottle with easy-clean lid.,501,1
51,Smiths Premium Bright 1-Pary Blumk Carr Poncils,362.47,Durable Mouse for gaming.,960,2
52,Smiths Premium Bright 1-Part Blank Computer Paper,362.47,Wireless Shoes with breathable fabric.,886,2
53,Artisan Hanging File Binders,53.22,Compact Headphones for daily commute.,799,1
54,Smiths Premium Bright 1-Part Envelopes,362.47,Eco-friendly Phone with minimal packaging.,761,1
55,"Creator Anti Dust Chalk, 12/Pack",53.22,Lightweight T-shirt with relaxed fit.,658,1
56,Artisan Legal 4-Ring Binder,893.74,Premium Desk Lamp for reading.,737,1
57,Artisan 477 Labels,159.93,Stylish Backpack with waterproof design.,697,2
